title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
About Last Night (2014),Steve Pink,N/A,"$55,160,900",Sony / Screen Gems,"February 14, 2014",Romantic Comedy,1 hrs. 40 min.,R,$12.5 million,"$49,002,684",Kevin Hart,Michael Ealy,Regina Hall,Paula Patton,N/A,N/A,Will Gluck,Will Packer,N/A,N/A,N/A,N/A,Leslye Headland,N/A,Marcus Miller,N/A
The Abyss Special Edition,N/A,N/A,"$520,700",Fox,"February 26, 1993",Sci-Fi Adventure,2 hrs. 51 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Accidental Courtesy: Daryl Davis, Race &amp; America",N/A,N/A,"$2,000",First Run,"January 6, 2017",Documentary,1 hrs. 40 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aces: Iron Eagle III,N/A,N/A,"$5,478,100",New Line,"June 12, 1992",Action,1 hrs. 38 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Across the Sea of Time (IMAX),N/A,N/A,"$23,299,400",Sony Classics,"October 20, 1995",IMAX,0 hrs. 51 min.,G,N/A,"$16,015,639",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Across the Universe (2018 re-release),N/A,N/A,"$264,500",Fathom,"July 29, 2018",Musical,2 hrs. 11 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Act of Killing,N/A,N/A,"$558,800",Drafthouse,"July 19, 2013",Documentary,1 hrs. 55 min.,Unrated,N/A,"$486,919",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Action Jackson (2014),N/A,N/A,"$279,500",Eros,"December 5, 2014",Foreign,2 hrs. 24 min.,Unrated,N/A,"$256,872",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Actress (2014),N/A,N/A,"$21,300",Cinema Guild,"November 7, 2014",Documentary,1 hrs. 26 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adam &amp; Steve,N/A,N/A,"$426,600",TLA Releasing,"March 31, 2006",Romantic Comedy,1 hrs. 39 min.,R,N/A,"$309,404",Parker Posey,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adderall Diaries,N/A,N/A,"$13,600",A24,"April 15, 2016",Drama / Thriller,1 hrs. 45 min.,R,N/A,"$13,191",Amber Heard,James Franco,Wilmer Valderrama,Ed Harris,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adored: Diary of a Male Porn Star,N/A,N/A,"$60,600",Wolfe Releasing,"April 2, 2004",Unknown,1 hrs. 41 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
